registrasi,nama_yayasan,alamat,rt,rw,kelurahan,kecamatan,kota_administrasi,no_telepon,pengurus,kegiatan,masa_berlaku
014.31.73.01.1006.24,EKA SAKTI,Jl. Ukir Raya No. 30 A,3,13,Cengkareng Timur,Cengkareng,Jakarta Barat,,Hj. Sumiyati,"Sosial, Kemanusiaan dan  Keagamaan",28 April 2014 s/d 27 April 2019
014.31.73.08.1003.25,RISANTI DHARMA WANITA PERSATUAN,Jl. H. Saaba Komplek DPR RI II,9,2,Meruya Selatan,Kembangan,Jakarta Barat,021 5870241,Ida Hutagalung,"Sosial, Keagamaan dan Kemanusiaan ",12 Mei 2014 s/d 11 Mei 2019
014.31.73.08.1005.26,KARTIKA DESTA RATA,Jl. Saaba No. 25 A,16,2,Joglo,Kembangan,Jakarta Barat,021 5873339 - 021 5847232,Oetari R. Hartono,Sosial dan Kemanusiaan ,19 Mei 2014 s/d 18 Mei 2019
014.31.73.01.1001.27,TUMBUH GEMILANG,Rukan hawaii Blok  A No. 115-116 City Resort,,,Cengkareng Timur,Cengkareng,Jakarta Barat,021 29020730,Kho Budiharsono,Keagamaan dan Sosial,19 Mei 2014 s/d 18 Mei 2019
014.31.73.08.1002.28,CERDAS RIANG,Jl. Penyelesaian Tomang I No. 22 Kav. DKI Meruya Ilir Blok 117 No. 7-8,,,Meruya Utara,Kembangan,Jakarta Barat,021 5853972,Poppy Filsafah Sukardi,"Sosial, Kemanusiaan dan  Keagamaan",25 Mei 2014 s/d 24 Mei 2019
014.31.73.04.1008.29,KEMULIAAN BUNDA TERATE,Jl. Terate raya No. 43,9,3,Jembatan Besi,Tambora,Jakarta Barat,021 6392203,"Veriana Januarsi, S.Pd",Sosial,30 Mei 2014 s/d 29 Mei 2019
014.31.73.08.1002.30,PENDIDIKAN ISLAM SA'ADATUDDARAIN KEMBANGAN,Jl. KH. Hasyim Pondok Cabe,5,1,Kembangan Utara,Kembangan,Jakarta Barat,021 5820187,Dra. Hj. Afifah,Pendidikan ,06 Juni 2014 s/d 05 Juni 2019
014.31.73.02.1006.31,PANCARAN BERKAT,Jl. Setia Jaya Raya No. 100,3,6,Jelambar Baru,Grogol Petamburan,Jakarta Barat,021 5638992 - 021 5638993,L. Herminto,"Sosial, Kesehatan, Pendidikan dan Kemanusiaan",09 Juni 2014 s/d 08 Juni 2019
014.31.73.06.1005.32,SAFINATUL HUSNA,Jl. Bambu Larangan,8,9,Pegadungan,Kalideres,Jakarta Barat,0812 8372704,H. Achmad Ali,"Sosial, Keagamaan dan Kemanusiaan ",02 Juli 2014 s/d 01 Juli 2019
014.31.73.05.1007.33,PONDOK PESANTREN AL KAMAL JAKARTA,Jl. Raya Al-Kamal  No. 2,7,3,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,021 5802126,Ir. Wiharto,"Sosial, Keagamaan dan Kemanusiaan ",04 Juli 2014 s/d 03 Juli 2019
014.31.73.05.1004.34,CITRA PRAKARSA NUSANTARA,Jl. Arteri Kelapa Dua No. 6 C,,,Kelapa Dua,Kebon Jeruk,Jakarta Barat,021 5321406,"Ali Saman Hasan, Lc.MA","Sosial, Keagamaan dan Kemanusiaan ",04 Juli 2014 s/d 03 Juli 2019
014.31.73.06.1005.35,FAJRUL ISLAM JAKARTA,Kp. Maja,6,5,Pegadungan,Kalideres,Jakarta Barat,021 5459809,"Drs. H. Syamsudin HB, MM",Sosial dan Keagamaan ,04 Juli 2014 s/d 03 Juli 2019
014.31.73.01.1003.36,KASIH MULIA SEJATI,Jl. Pakis Raya No. 11,,,Rawa Buaya,Cengkareng,Jakarta Barat,5809494,Sukiwan,Keagamaan ,04 Juli 2014 s/d 03 Juli 2019
014.31.73.05.1003.37,ISLAM RAUDHATUL'ULUM KEBON JERUK,Jl. Pahlawan 3 Kp. Baru No. 46,2,5,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,021 32294095,"Drs. H. Hanafi Tamam, MM",Keagamaan ,04 Juli 2014 s/d 03 Juli 2019
014.31.73.08.1001.38,MUSLIMAT TUNAS HARAPAN BASMOL,Jl. Al-Hidayah Basmol No. 43,15,6,Kembangan Utara,Kembangan,Jakarta Barat,021 5910063,"Muhamad Rosich, ST","Sosial, Kemanusiaan dan  Keagamaan",21 Juli 2014 s/d 20 Juli 2019
014.31.73.06.1002.39,SEHATI MANDIRI SENTOSA,Taman Semanan Indah Blok H. 2 No. 41,14,12,Semanan,Kalideres,Jakarta Barat,,Liana,Sosial,08 Agustus 2014 s/d 07 Agustus 2019
014.31.73.04.1007.40,KRISTEN BUKIT SINAI,Jl. Samarasa I Dalam No. 50 Angke Jaya,4,4,Angke,Tambora,Jakarta Barat,021 6328481,"Wong Tommy Hartadi, MSc","Sosial, Kemanusiaan dan  Keagamaan",29 Agustus 2014 s/d 28 Agustus 2019
014.31.73.06.1005.45,EPI SENTRUM LOGOS,Komplek Taman Surya 5 Blok PPI No. 18,7,17,Pegadungan,Kalideres,Jakarta Barat,021 5457930,"Marta Dorkas, S.Pd","Sosial, Keagamaan dan Kemanusiaan ",02 September 2014 s/d 01 September 2019
014.31.73.01.1005.46,DIAH SITONGGI-TONGGI,Jl. Pedongkelan Belakang,7,16,Kapuk,Cengkareng,Jakarta Barat,021 54360207,Ramadon Manalu,Sosial dan Kemanusiaan ,05 September 2014 s/d 04 September 2019
014.31.73.04.1004.47,GENERASI MUDA AL LATHIF,Jl. Pekapuran IV/76,1,5,Tanah Sereal,Tambora,Jakarta Barat,,Titin Nurhayati,Sosial dan  Keagamaan,05 September 2014 s/d 04 September 2019
014.31.73.01.1003.48,ORANG TUA HARAPAN BANGSA,Jl. Lingkar Luar Barat Kav. 35-36,5,3,Rawa Buaya,Cengkareng,Jakarta Barat,021 58397888,Adi Winata,Sosial dan Kemanusiaan ,10 September 2014 s/d 09 September 2019
014.31.73.08.1005.49,AT-TAWWAAB JAKARTA,Jl. Bazoka Raya No. 6,5,2,Joglo,Kembangan,Jakarta Barat,021 5840929,Kadar Hera Ries Oputra,"Sosial, Keagamaan dan Kemanusiaan ",17 September 2014 s/d 16 September 2019
014.31.73.01.1001.50,SAN DOMINGGO,Taman Palem Lestari Blok II No. 30,3,13,Cengkareng Barat,Cengkareng,Jakarta Barat,021 55951193,Elsa Puspita,Sosial dan Pendidikan,22 September 2014 s/d 21 September 2019
014.31.73.05.1006.51,BINA MURNI,Jl. Kedoya Raya No. 35,2,7,Kedoya Utara,Kebon Jeruk,Jakarta Barat,021 5652459,Suriani Tahir,Sosial dan Kemanusiaan ,26 September 2014 s/d 25 September 2019
014.31.73.07.1001.52,ADIKARA NIAT,Jl. Palmerah I,1,1,Palmerah,Palmerah,Jakarta Barat,021 5482746,"Sr. Em. Cecilia Hartati FMM, MPA",Keagamaan dan Kemanusiaan ,02 Oktober 2014 s/d 01 Oktober 2019
014.31.73.08.1006.53,BUDI PEKERTI LUHUR,Jl. Raya Kembangan Blok JJ,2,2,Kembangan Selatan,Kembangan,Jakarta Barat,021 5806699,Andrew Jonathan Jules,Sosial dan Pendidikan,09 Oktober 2014 s/d 08 Oktober 2019
014.31.73.06.1005.54,BAITURRAHMAN Al-MINAH,Jl. Irigasi Bulak Sere No. 22,7,1,Pegadungan,Kalideres,Jakarta Barat,021 96929501,"Arwanih, S.Ag","Sosial, Keagamaan dan Kemanusiaan ",26 September 2014 s/d 25 September 2019
014.31.73.07.1005.55,SULUH KASIH,Jl. Letjen. S. Parman Kav. 32-34,,,Kemanggisan,Palmerah,Jakarta Barat,021 5482520 - 021 29393388,Danie Tjandra,"Keagamaan, Sosial dan Kemanusiaan ",28 September 2014 s/d 27 September 2019
014.31.73.06.1005.55,PENDIDIKAN KASIH KEMULIAAN,Taman Surya V No. 3,,,Pegadungan,Kalideres,Jakarta Barat,021 29670988 - 29670990,Santie,Sosial dan Keagamaan ,02 Desember 2014 s/d 01 Desember 2019
014.31.73.04.1007.56,DHAMMASAVANA JAKARTA,,,,,,,021 6300966,Revata Kartawidjaja,"Sosial, Keagamaan dan Kemanusiaan ",04 Desember 2014 s/d 03 Desember 2019
014.31.73.06.1002.57,IHYA'ULUMIDDIN SEMANAN,Kp. Tanah Tinggi No. 8,4,6,Semanan,Kalideres,Jakarta Barat,0813 86805643,Ust. Ahmad Shomad,"Sosial, Keagamaan dan Kemanusiaan ",04 Desember 2014 s/d 03 Desember 2019
014.31.73.04.1007.58,PENDIDIKAN SARIPUTRA MANDIRI,Jl. Padamulya III No. 35,6,8,Angke,Tambora,Jakarta Barat,0812 80421349,A. Sanusi,Sosial dan Keagamaan,05 Desember 2014 s/d 04 Desember 2019
014.31.73.02.1003.59,LEMBAGA PENDIDKAN DAN PENGAJARAN AL-ISLAMIYAH,Jl. Tawakal Raya No. 99,,,Tomang,Grogol Petamburan,Jakarta Barat,021 5608713,Drs. Pasni Rusli,Sosial dan Pendidikan,24 Desember 2014 s/d 23 Desember 2019
014.31.73.01.1006.60,UTAMA GUNADARMA MEDIKA,Jl. Kamal Raya Outer Ring Road Komplek Rukan Malibu Blok I,7,14,Cengkareng Timur,Cengkareng,Jakarta Barat,,"Prof. DR. E.S. Margianti, SE, MM",Sosial dan Pendidikan,24 Desember 2014 s/d 23 Desember 2019
014.31.73.05.1003.61,NUR BALITA SUKABUMI SELATAN,Jl. Panjang Kp. Baru No. 1,5,4,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,,H. Rusli,"Keagamaan, Sosial  dan Kemanusiaan ",31 Desember 2014 s/d 30 Desember 2019
014.31.73.05.1001.61,KASIH SEJAHTERA INDONESIA,Jl. Dr. Kasih No. 1 JL.E,8,1,Kebon Jeruk,Kebon Jeruk,Jakarta Barat,0857 81100832,Drg. Widuri Tedjo Purnomo,"Keagamaan, Sosial  dan Kemanusiaan ",29 Desember 2014 s/d 28 Desember 2019
014.31.74.07.1010.001,LEMBAGA KESEJAHTERAAN GEREJA KRISTEN INDONESIA ,Pusat Niaga Duta Fatmawati No.39,,,Cipete Utara,Kebayoran Baru,Jakarta Barat,,Pnp. Benny Budi Satrio,Sosial,09 Januari 2014 s/d 08 Januari 2019
014.31.74.07.1001.002, PEDULI PSORIASIS INDONESIA,Jl. Melawai Ix No.38 Lt.2,,,Melawai,Kebayoran Baru,Jakarta Selatan,021 7512614 - 021 70332425,Dr.Nanang Tri Wahyudi,Sosial Dan Kesehatan,06 Januari 2014 s/d 05 Januari 2019
014.31.74.05.1001.003, NUR ISLAMY PENINGGARAN,Jl. Paninggaran Barat Ii,11,11,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,,H.A.Halim Bin A.Miun,Sosial Keagamaan Dan Kemanusiaan,07 Januari 2014 s/d 06 Januari 2019
014.31.74.05.1004.004,STONI TENNIS PRO CAM ,Komp. Pertokoan Permata Hijau Jl. Biduri Bulan Blok.I No.09-10,,,Grogol Utara,Kebayoran Lama,Jakarta Selatan,,Tonni Zwingli Meringgi,Sosial Kemanusiaan,21 Januari 2014 s/d 20 Januari 2019
014.31.74.02.1008.005,DANA ABADI KARYA BAKTI(DAKAB),Gedung. Gramadi Lt. 12 Jl. Hr. Rasuna Said Blok. X-I Kav.8-9,,,Kuningan Timur,Setia Budi,Jakarta Selatan,021 2526890,Dr.H.Rusmono,Sosial Kemanusiaan Dan Keagamaan,13 Januari 2014 s/d 12 Januari 2019
014.31.74.04.1006.006, PELITA AZZAM,Jl.Masjid Al-Hidayah No.17,4,7,Pejaten Barat,Pasar Minggu,Jakarta Selatan,,Een Chairiah Haris,Sosial Kemanusiaan Dan Keagamaan,06 Januari 2014 s/d 05 Januari 2019
014.31.74.02.1008.007,TRANSPORMASI KEBIJAKAN PUBLIK, Menara Raja Wali Lt. 06 Jl.Dr. Ide Anak Agung Gedung Agung Lot. 5.1 Kawasan Mega Kuningan,,,Kuningan Timur,Setia Budi,Jakarta Selatan,,Peter John Chambers,Sosial,05 Februari 2014 s/d 04 Februari 2019
014.31.74.08.1003.008,TAMAN KANAK-KANAK RISANTI ANAK BANGSA,Wisma Dpr Ri A-B,2,5,Rawajati,Pancoran,Jakarta Selatan,0813 19424297,Kaodijatul Qodriyah Mmpub. Msi,Sosial Keagamaan,10 Februari 2014 s/d 09 Februari 2019
014.31.74.09.1004.009,NURUL HASANAH LENTENG AGUNG,Jl. Agung Raya I Gg.Pepaya,12,3,Lenteng Agung,Jagakarsa,Jakarta Selatan,,Akhmad Junaidi,Sosial Keagamaan Dan Kemanusiaan,10 Februari 2014 s/d 09 Februari 2019
014.31.74.08.1005.12,INSAN MULIYA CENDIKIA,Jl. Pengadegan Selatan,2,5,Pengadegan,Pancoran,Jakarta Selatan,,Chatheriena Rosmauli Silitonga. Spd,Sosial Keagamaan Dan Kemanusiaan,11 Februari 2014 s/d 10 Februari 2019
014.31.74.010.1004.13,AL-MANAR PESANGGRAHAN,Jl. Graha Ii Bumi Pesanggrahan Mas,1,8,Petukangan ,Pesanggrahan,Jakarta Selatan,,Ir.H.Bambang Setiadji,Sosial Dan Keagamaan,11 Februari 2014 s/d 10 Februari 2019
014.31.74.06.1002.10, HELENA,Gedung Sophie Jl. Adhiyaksa Raya No.33,6,7,Lebak Bulus,Cilandak,Jakarta Selatan,021 75915262,Tri Andayani Tyas Atami,Sosial Kemanusiaan Dan Keagamaan,10 Februari 2014 s/d 09 Februari 2019
014.31.74.06.1002.11,JATI KARYA ILMU,Jl. Pertanian Raya No.1,2,4,Lebak Bulus,Cilandak,Jakarta Selatan,021 7514465,Ir.H.Amir Susanto Padmo Prayitno.Mph,Sosial Kemanusiaan Dan Keagamaan,10 Februari 2014 s/d 09 Februari 2019
014.31.74.07.1008.14, DAARUT TAUHID CABANG JAKARTA,Jl. Cipaku I No.43,2,4,Petogogan,Kebayoran Baru,Jakarta Selatan,021 7235258,Hj.Mia Kusmiasari,Sosial Dan Pendidikan,18 Februari 2014 s/d 17 Februari 2019
014.31.74.04.1005.15,ORSOS AISYIYAH,Jl. Kemuning Dalam I No.73,5,6,Pejaten Timur,Pasar Minggu,Jakarta Selatan,,Hj.Farida.A.H,Pendidikan Sosial Keagamaan,20 Februari 2014 s/d 19 Februari 2019
014.31.74.02.1008.16,INSTITUT DANONE INDONESIA (INDONESIAN DANONE INSTITUTE FONDATION),Cyber 2 Tower Lt.16 Jl. Hr. Rasuna Said Blok.X-5 No.13,,,Kuningan Timur,Setiabudi,Jakarta Selatan,,Prof.Dr.Soekirman Skm.Mps,Sosial,20 Februari 2014 s/d 19 Februari 2019
014.31.74.04.1005.17,ORSOS AISYIYAH PEJATEN TIMUR,Jl. Kemuning Dalam I No.73,5,6,Pejaten Timur,Pasar Minggu,Jakarta Selatan,,"Hj.Farida, A.H","Pendidikan, Sosial Dan Keagamaan",05 Maret 2014 s/d 04 Maret  2019
014.31.74.04.1003.18, PENDIDIKAN AVICENNA PRESTASI,Gedung Medco Iii Jl. Ampera Raya No.018,,2,Cilandak Timur,Pasar Minggu,Jakarta Selatan,,Ir.Irama. Aboesoemono,Sosial Kemanusiaan Dan Keagamaan,05 Maret 2014 s/d 04 Maret  2019
014.31.74.06.1001.19,BINA CITRA CILANDAK,Jl. Maritim No. 32,1,5,Cilandak Barat,Cilandak,Jakarta Selatan,,Sukatmi,Sosial Kemanusiaan Dan Keagamaan,06 Maret 2014 s/d 05 Maret  2019
014.31.74.07.1001.20,PENYAYANG SATWA,Jl. Falatehan I No. 29,,,Melawai,Kebayoran Baru,Jakarta Selatan,,Grace Tarmizi,Sosial,21 Maret 2014 s/d 20 Maret  2019
014.31.74.08.1003.021,SAHABAT RAWAJATI,Jl. Lobi-lobi Blok Q-17,11,6,Rawajati,Pancoran,Jakarta Selatan,,"Ahmad Tamrella,SH,MBA","Keagamaan, Sosial dan Kemanusiaan",25 Maret 2014 s/d 24 Maret  2019
014.31.74.03.1003.22,HILAL AHMAR IMARATI,Jl. Bangka II No. 19,2,2,Pela Mampang,Mampang Prapatan,Jakarta Selatan,,H. Atbah Romin Suhaili,Sosial,20 Maret 2014 s/d 19 Maret  2019
014.31.74.01.1005.23,MITRA KENCANA CENDEKIA,"Gd. Sahdipura, Jl. KH. Abdullah Syafi'I No. 19",12,9,Bukit Duri,Tebet,Jakarta Selatan,,Astrid Susi Utami,Sosial dan Kemanusiaan ,02 April 2014 s/d 01 April  2019
014.31.74.06.1003.24,PENDIDIKAN POLA ASIH,Jl. Pondok Labu I B No. 24,4,7,Pondok Labu,Cilandak,Jakarta Selatan,021 7656604,Kartono . WS,Pendidikan,02 April 2014 s/d 01 April  2019
014.31.74.03.1002.25,PENDIDIKAN SEKOLAH PELITA HARAPAN INTERNASIONAL JAKARTA,Jl. Kemang IE No. 6,12,5,Bangka,Mampang Prapatan,Jakarta Selatan,,Minny Riady,Sosial Kemanusiaan Dan Keagamaan,02 April 2014 s/d 01 April  2019
014.31.74.10.1002.26,PINTU BINA TANGAN AMAL BINTARO,Jl. Mawar III,4,5,Bintaro,Pesanggrahan,Jakarta Selatan,021 7365919 - 0813 17613165,Lucky Achmad . S,"Sosial, Keagamaan dan Kemanusiaan",02 April 2014 s/d 01 April  2019
014.31.74.09.1002.27,RANAKHO INDONESIA,Jl. Cipedak V Kav. 10,7,9,Srengseng Sawah,Jagakarsa,Jakarta Selatan,021 78885358,Yunis Esther Pendang,"Sosial, Keagamaan dan Kemanusiaan",02 April 2014 s/d 01 April  2019
014.31.74.05.1002.28,ALZHEIMER INDONESIA,"Plaza 3 Pondok Indah Blok E No. 2, Jl. Simatupang",,,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,0816 863136,Kusuma Dewi,Sosial dan Kemanusiaan ,02 April 2014 s/d 01 April  2019
014.31.74.05.1005.29,PANDAWA BUDI LUHUR,Kp. Cidodol,11,6,Grogol Selatan,Kebayoran Lama,Jakarta Selatan,,Drs. Sumadi Dwijo Saptomo,"Sosial, Keagamaan dan Kemanusiaan",08 April 2014 s/d 07 April  2019
014.31.74.08.1003.30,MAJELIS DZIKIR RUHHA AL HABSYI,Jl. Rawajati Timur II No. 2,6,2,Rawajati,Pancoran,Jakarta Selatan,021 7942152,Fathi,Sosial Kemanusiaan Dan Keagamaan,10 April 2014 s/d 09 April  2019
014.31.74.04.1004.31,RUMAH SIPUT INDONESIA,Jl. Ampera Raya No. 11 Graha STR Lt. 4 Ruang 407,,,Ragunan,Pasar Minggu,Jakarta Selatan,,Ny. Betty Sugihartati,Sosial dan Kemanusiaan ,14 April 2014 s/d 13 April  2019
014.31.74.10.1001.32,ANAK CERIA BERAKHLAK,Jl. Melati II Blok S 1-2 Bumi Bintaro Permai,4,8,Pesanggrahan,Pesanggrahan,Jakarta Selatan,021 7364885 - 021 7365405,Ir. Jarot Wijanarko,Sosial dan Kemanusiaan ,17 April 2014 s/d 16 April  2019
014.31.74.08.1004.33,INDORELAWAN,"Plaza Basmar Lt. 2, Jl. Mampang Prapatan Raya No. 106",,,Duren Tiga,Pancoran,Jakarta Selatan,0858 8815598,Margareta Widya Artanti,Sosial,28 April 2014 s/d 27 April  2019
014.31.74.02.1008.34,DEWAN PENDIDIKAN ISLAM INTERNASIONAL,"Gedung Palma One Lt. 4 Suite 401, Jl. H.R. Rasuna Said Blok X-2 No. 4",,,Kuningan Timur,Setiabudi,Jakarta Selatan,021 5274030 - 021 5274038,Pramadita Adhi Krisna .T,"Sosial, Keagamaan dan Kemanusiaan",28 April 2014 s/d 27 April  2019
014.31.74.06.1003.35,PERGURUAN DJUBLEG RANUATMAJA,Jl. H.Ipin No. 57,12,1,Pondok Labu,Cilandak,Jakarta Selatan,,"Dr. DJ. Rumahorbo, SH",Sosial dan Kemanusiaan ,28 April 2014 s/d 27 April  2019
014.31.74.03.1002.36,LOSARI,"Plaza Bisnis Kemang, Jl. Kemang Raya No. 02",,,Bangka,Pondok Labu,Jakarta Selatan,021 749127560,Ir. Restu Imam Sari Kusumaningrum,Sosial,07 Mei 2014 s/d 06 Mei  2019
014.31.74.07.1008.37,TALKNIC,Jl. Wijaya I No. 73,,,Petogogan,Kebayoran Baru,Jakarta Selatan,021 7202719,Ruth Rebecca Tumewu,Sosial,19 Mei 2014 s/d 18 Mei  2019
014.31.74.09.1005.38,BADAN SOSIAL (DARMA KASIH GEREJA KRISTEN PASUNDAN),Jl. Nangka No. 3,5,5,Tanjung Barat,Jagakarsa,Jakarta Selatan,021 788451,Mardiasih,Sosial,19 Mei 2014 s/d 18 Mei  2019
014.31.74.05.1004.39,HABITAT KEMANUSIAAN INDONESIA (YHKI),"The Bellezza Shopping Arcade Lt. 2 Unit 25-27, Jl. Letjen. Soepeno No. 34 Arteri Permata Hijau",,,Grogol Utara,Kebayoran Lama,Jakarta Selatan,021 29916074,James Leslie Tumbuan,"Sosial, Kemanusiaan dan  Keagamaan ",23 Mei 2014 s/d 22 Mei  2019
014.31.74.02.1001.40,PENDIDIKAN GURU SETIABUDI SATU,Jl. Setiabudi I Ni. 1,,,Setiabudi,Setiabudi,Jakarta Selatan,021 5279895,"Dra. Zakiah, M.Pd",Sosial,23 Mei 2014 s/d 22 Mei  2019
014.31.74.08.1001.41,JAYA KUSUMA INSAN MANDIRI,"Gedung SME Tower Lt. 10, Jl. Gatot Subroto Kav. 94",,,Pancoran,Pancoran,Jakarta Selatan,021 7872897,Ir. Agus Winarno,"Sosial, Keagamaan dan Kemanusiaan",06 Juni 2014 s/d 05 Juni  2019
