registrasi,nama_yayasan,alamat,rt,rw,kelurahan,kecamatan,kota_administrasi,no_telepon,pengurus,kegiatan,masa_berlaku
014.31.75.10.1004.18,ABDI PRATAMA,Jl. Hankam 4,2,5,Munjul,Cipayung,Jakarta Timur,,"Drs. Dasuki, M.Pd",Sosial Kemanusiaan Dan Keagamaan,17 Februari 2014 s/d 16 Februari 2019
014.31.75.06.1005.19,WIRITOMO,Jl. Raya Pulo Gebang Gg. Swadaya No. 36,6,4,Pulo Gebang,Cakung,Jakarta Timur,021 4803977,"Sutomo Hadi Siswoyo,S.Pd",Sosial Kemanusiaan Dan Keagamaan,10 Maret 2014 s/d 09 Maret 2019
014.31.75.02.1005.20,KIBAR INDONESIA,Jl. Waru No. 21 C,1,9,Rawamangun,Pulogadung,Jakarta Timur,021 47881393,Ir. Nurcahyo Riswanto,Sosial dan Kemanusiaan ,10 Maret 2014 s/d 09 Maret 2019
014.31.75.08.1003.21,PENDIDIKAN NURUL ANSOR,,7,11,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 70822004,Acih Nasir,"Pendidikan, Keagamaan dan Sosial",10 Maret 2014 s/d 09 Maret 2019
014.31.75.10.1005.22,HARAPAN AL-MISFALAH 54-89,Jl. Bantar Jati No. 16,8,2,Setu,Cipayung,Jakarta Timur,021 84992381,"Prof. H. Rusdi Malik, SH,MH",Sosial Kemanusiaan Dan Keagamaan,18 Maret 2014 s/d 17 Maret 2019
014.31.75.03.1007.23,SALAM MU'MININ,Jl. Cipinang Besar Selatan No. 13,10,6,Cipinang Besar Selatan,Jatinegara,Jakarta Timur,021 85905567,"Iis Wahyuni, S.Pd",Sosial Dan Keagamaan,18 Maret 2014 s/d 17 Maret 2019
014.31.75.09.1001.24,PERKUMPULAN PAGUYUBAN HESTHI BUDAYA NUSANTARA,Jl. Gelanggang Remaja No. 1,1,5,Makasar,Makasar,Jakarta Timur,021 8097938,"H. Mohamad Santoso, SE",Sosial,26 Maret 2014 s/d 25 Maret 2019
014.31.75.07.1004.25,MISBAHUR ROHIMIN,Jl. Pondok Kelapa I,4,5,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 96173000,Heriyanto,Sosial Kemanusiaan Dan Keagamaan,02 April 2014 s/d 01 April 2019
014.31.75.07.1004.26,PENDIDIKAN ISLAM AL HIDAYAH PONDOK KELAPA,Jl. Swakarsa IV No. 3A,4,2,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 86901592,R.D. Lala Islami,Sosial Kemanusiaan Dan Keagamaan,21 April 2014 s/d 20 April 2019
014.31.75.06.1007.27,NURUL HUDA AQL HAZMI,Jl. Tipar Cakung No. 33,12,7,Cakung,Cakung,Jakarta Timur,021 46824690,Abdul Basit,Sosial Kemanusiaan Dan Keagamaan,21 April 2014 s/d 20 April 2019
014.31.75.06.1007.28,AL AHMAD FAJR,Kp. Baru,9,8,Cakung,Cakung,Jakarta Timur,0857 76730554,"Susiawati A, S.Pd",Sosial dan Kemanusiaan ,25 April 2014 s/d 24 April 2019
014.31.75.10.1007.29,MUHAMMAD YUSUF USMAN,Jl. Lubang Buaya No. 6 B,1,2,Lubang Buaya,Cipayung,Jakarta Timur,021 87781389,Drs. Ridwan Muhammad Yusuf,Sosial Kemanusiaan Dan Keagamaan,25 April 2014 s/d 24 April 2019
014.31.75.07.1004.30,WAKAF BAITUSSALAM BILLYMOON,Perumahan Billy Moon,5,10,Pondok Kelapa,Duren Sawit,Jakarta Timur,,H. Tafsir Nurchamid,"Keagamaan, Sosial  dan Kemanusiaan ",25 April 2014 s/d 24 April 2019
014.31.75.06.1006.31,UMMI MARYAM SENAN,Jl. Satria II No. 49,2,2,Ujung Menteng,Cakung,Jakarta Timur,021 90289689 - 0815 85064518,Syafi'ih,Sosial Kemanusiaan Dan Keagamaan,12 Mei 2014 s/d 11 Mei 2019
014.31.75.06.1005.32,PENDIDIKAN ISLAM AR-RAHMAN USMANIYAH,Jl. P. Komarudin No. 49,11,5,Pulo Gebang,Cakung,Jakarta Timur,021 4806720,"Drs. HA. Zarkasy Usman, MA",Sosial Kemanusiaan Dan Keagamaan,23 Mei 2014 s/d 22 Mei 2019
014.31.75.07.1004.33,FURU'UL HUSNA JAKARTA,Jl. Kelapa Sawit Raya,4,7,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 8649613,"Sukron Ma'mun, S.Sos","Sosial, Keagamaan dan Kemanusiaan ",23 Mei 2014 s/d 22 Mei 2019
014.31.75.04.1005.34,MANAJEMEN DAN TEKNOLOGI NASIONAL,Jl. Raya Condet No. 321,3,2,Balekambang,Kramat Jati,Jakarta Timur,021 8092321,Drs. Asrizal,Sosial Kemanusiaan Dan Keagamaan,13 Juni 2014 s/d 12 Juni 12019
014.31.75.09.1001.35,ATTHURAST AL-IKHWAN AL MUKHLISIN JAKARTA,Jl. Tipala III No. 13,5,5,Makasar,Makasar,Jakarta Timur,021 8002429,"Machtur, SH",Sosial Kemanusiaan Dan Keagamaan,13 Juni 2014 s/d 12 Juni 12019
014.31.75.07.1001.36,TITIK BALIK,Jl. Kaveling Agraria No. 70,2,16,Duren Sawit,Duren Sawit,Jakarta Timur,021 32377123,Drs. Pungki Djoko . S,"Sosial, Keagamaan dan Kemanusiaan ",18 Juni 2014 s/d 17 Juni 12019
014.31.75.05.1005.37,TUISI AL-KAROMAH,Jl. Gandaria I,9,2,Pekayon,Pasar Rebo,Jakarta Timur,021 8718274,"Siti Hartini, S.Pd, M.Si",Sosial Kemanusiaan Dan Keagamaan,20 Juni 2014 s/d 19 Juni 12019
014.31.75.03.1003.38,FORUM BERSAMA LASKAR MERAH PUTIH INDEPENDEN,Jl. Jatinegara Timur No. 61-65,11,2,Balimester,Jatinegara,Jakarta Timur,021 85913654,Ir. Sahat Pasaribu,Sosial Kemanusiaan Dan Keagamaan,27 Juni 2014 s/d 26 Juni 12019
014.31.75.07.1001.39,BUNGA PEMBANGUNAN,Jl. Radin Inten II Komp. Kimia farma II No. 39,6,14,Duren Sawit,Duren Sawit,Jakarta Timur,021  8605833,Hj. Efi Rifiyanti,"Sosial, Keagamaan dan Kemanusiaan ",30 Juni 2014 s/d 29 Juni 12019
014.31.75.05.1003.40,PASKITA GLOBAL,Jl. Raya Bogor Km. 25,16,14,Cijantung,Pasar Rebo,Jakarta Timur,021 87701633,Albert Apriado,Pendidikan,02 Juli 2014 s/d 01 Juli 2019
014.31.75.02.1005.41,ASRAMA PELAJAR ISLAM,Jl. Sunan Giri No. 1,12,15,Rawamangun,Pulogadung,Jakarta Timur,021 47867777,"Drs. H. Hariri Hady, MA","Sosial, Keagamaan dan Kemanusiaan ",04 Juli 2014 s/d 03 Juli 2019
014.31.75.07.1002.42,WAKAP ISLAM IZZUDDIN,Jl. Langgar II,11,5,Pondok Bambu,Duren Sawit,Jakarta Timur,021 8600657,"Rohimi Kurniawan, SH","Keagamaan, Sosial dan Kemanusiaan ",04 Juli 2014 s/d 03 Juli 2019
014.31.75.03.1001.43,GEMBALA BAIK,Jl. Jatinegara Barat No. 122,7,1,Kampung Melayu,Jatinegara,Jakarta Timur,021 85900924,"Sr. M. Catharina Wahyuningsih, RSG",Sosial Kemanusiaan Dan Keagamaan,07 Juli 2014 s/d 06 Juli 2019
014.31.75.10.1006.44,RIZKYTA,Jl. Raya Mabes Hankam No. 9,7,2,Bambu Apus,Cipayung,Jakarta Timur,021 68804372,"Eny Susilowati, SE, MM",Sosial Kemanusiaan Dan Keagamaan,14 Juli 2014 s/d 13 Juli 2019
014.31.75.07.1001.45,PERGURUAN BUDHAYA,Jl. Buaran Komplek Arlin Indah Blok L 21-22,8,15,Duren Sawit,Duren Sawit,Jakarta Timur,021 8607071,"Drs. Anton Supardjo, M.Pd",Sosial,16 Juli 2014 s/d 15 Juli 2019
014.31.75.02.1006.46,DHARMAWAN NURFAHMI,Jl. Kusen I No. 1,6,2,Kayu Putih,Pulogadung,Jakarta Timur,021 4718233 - 021 46254833,"Agus Eka Putra, SE","Keagamaan, Sosial dan Kemanusiaan ",16 Juli 2014 s/d 15 Juli 2019
014.31.75.01.1003.47,ORSOS AISYIYAH CABANG MATRAMAN,Jl. KH. A. Dahlan No. 20,1,9,Kayumanis,Matraman,Jakarta Timur,021 8571354,Hj. Tjutju Zubaedah,"Pendidikan, Sosial, Keagamaan dan Kemasyarakatan",21 Juli 2014 s/d 20 Juli 2019
014.31.75.09.1005.48,SARTIKA JAKARTA,Jl. Manunggal Raya No. 2 A,11,6,Cipinang Melayu,Makasar,Jakarta Timur,021 8609405,"Kartika Wati, ST",Sosial Kemanusiaan Dan Keagamaan,25 Agustus 2014 s/d 24 Agustus 2019
014.31.75.02.1007.49,ABDI WACANA,Jl. Pemuda No. 103,1,2,Jati,Pulogadung,Jakarta Timur,021 4702323,Matheus Agustinus . CH,"Sosial, Kemasyarakatan dan Pendidikan",29 Agustus 2014 s/d 28 Agustus 2019
014.31.75.07.1007.50,WARGA KRISTEN PONDOK KOPI,Jl. Pondok Kopi Raya Blok K W No.1,9,6,Pondok Kopi,Duren Sawit,Jakarta Timur,,Agustinus Sitanala,"Keagamaan, Kemanusiaan dan Sosial  ",05 September 2014 s/d 04 September 2019
014.31.75.03.1003.51,PHILIA UTAMA,Jl. Jatinegara Barat III No. 2 A,11,3,Balimester,Jatinegara,Jakarta Timur,,Hendy Kowanda,Sosial Kemanusiaan Dan Keagamaan,05 September 2014 s/d 04 September 2019
014.31.75.03.1008.52,ALMAGFIROH NURUL YAQIN,Jl. Prumpung Sawah,6,4,Cipinang Besar Utara,Jatinegara,Jakarta Timur,021 85906207,"Ahmad Bay Jurih, SH","Sosial, Keagamaan dan Kemanusiaan ",05 September 2014 s/d 04 September 2019
014.31.75.06.1006.53,PENDIDIKAN ISLAM AL-ISHLAH MADANI,Jl. Raya Bekasi Km. 26 Metland Menteng,9,2,Ujung Menteng,Cakung,Jakarta Timur,021 4607411,Drs. H. Nur Hasan Muhabar,Sosial Kemanusiaan Dan Keagamaan,15 September 2014 s/d 14 September 2019
014.31.75.02.1006.54,SYIAR BANGSA,"Plaza Summarecon Lt. 3, Jl. Perintis Kemerdekaan No. 42",,,Kayu Putih,Pulogadung,Jakarta Timur,021 4714567,Warno Jhon Wiliandi,Sosial Kemanusiaan Dan Keagamaan,16 September 2014 s/d 15 September 2019
014.31.75.02.1005.55,MINI BAKTI RAWAMANGUN,Jl. Kayu Jati III No. 7,1,5,Rawamangun,Pulogadung,Jakarta Timur,021 4715852,Ir. Novero,Sosial dan Pendidikan,17 September 2014 s/d 16 September 2019
014.31.75.03.1001.56,BANGUN CIPTA NEGERI,Jl. Matraman Raya 200,12,6,Kampung Melayu,Jatinegara,Jakarta Timur,,"Ir. Cindy Tahuwidjaya, MSc",Sosial Kemanusiaan Dan Keagamaan,22 September 2014 s/d 21 September 2019
014.31.75.07.1004.57,CAHAYA ILMU CENDEKIA,Jl. H. Naman No. 44,11,3,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 86906360,"Muhammad Rifzeki, SE",Sosial Kemanusiaan Dan Keagamaan,24 September 2014 s/d 23 September 2019
014.31.75.04.1001.58,SANTO MARKUS,Jl. Kelapa Gading III,9,1,Kramat Jati,Kramat Jati,Jakarta Timur,021 8090500,"Drs. Mardiyamto, MM",Sosial Kemanusiaan Dan Keagamaan,26 September 2014 s/d 25 September 2019
014.31.75.03.1004.59,PENDIDIKAN KATOLIK LEO DEHON,Jl. DI. Panjaitan Kav. 46,2,6,Rawa Bunga,Jatinegara,Jakarta Timur,021 8193613 - 021 8193494,"Pst. Donatus Kusmartono, SCJ, MSc",Sosial dan Keagamaan,02 Oktober 2014 s/d 01 Oktober 2019
014.31.75.01.1006.60,RUMAH KAMPUS PENA,Jl. Kramat Asem No. 16,5,12,Utan Kayu Selatan,Matraman,Jakarta Timur,021 8581369,Dra. Endang rahayu,Sosial Kemanusiaan Dan Keagamaan,02 Oktober 2014 s/d 01 Oktober 2019
014.31.75.01.1006.61,MAKARIM WIBISONO,"Mitra Matraman Blok A-2, Jl. Matraman Raya No. 148",,17,Kebon Manggis,Matraman,Jakarta Timur,021 85918070 - 021 85918071,"Ninik Rustina Wati, SE",Sosial Kemanusiaan Dan Keagamaan,09 Oktober 2014 s/d 08 Oktober 2019
014.31.75.08.1003.62,ANUGERAH MUTIARA KASIH,Jl. Puri Mas I No. 1,16,8,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 9767189,Fernanda P. Breemer,Sosial dan Kemanusiaan ,10 Oktober 2014 s/d 09 Oktober 2019
014.31.75.07.1003.63,RABI'AH AL-ADAWIYAH,Kp. Sumur No. 7,11,10,Klender,Duren Sawit,Jakarta Timur,83357479,Hj. Barkah . HR,Sosial dan Pendidikan,15 Oktober 2014 s/d 14 Oktober 2019
014.31.75.03.1003.64,LEMBAGA DAKINAH DAN PENDIDIKAN ELDATA,Jl. Kebon Nanas Utara II/RW12 RT004/RW004,4,4,Cipinang Cempedak,Jatinegara,Jakarta Timur,021 8199992,"Moh. Syuaeb Alfaiz, Lc, M.Si",Sosial Kemanusiaan Dan Keagamaan,22 Oktober 2014 s/d 21 Oktober 2019
014.31.75.05.1003.65,SAMARIA GEMA GOLGOTA,Jl. Catur Darma No. 21,5,6,Cijantung,Pasar Rebo,Jakarta Timur,021 8412832 - 021 87781717,"Yoseph Ibrahim, Pdt",Sosial Kemanusiaan Dan Keagamaan,23 Oktober 2014 s/d 22 Oktober 2019
014.31.75.06.1003.66,PENDIDIKAN ISLAM ADDINIYAH HIKMATUL HUSNA,Jl. Marzuki VII No. 13 Kp. Jembatan,11,14,Penggilingan,Cakung,Jakarta Timur,,Drs. KH. Hasbullah,Sosial Kemanusiaan Dan Keagamaan,27 Oktober 2014 s/d 26 Oktober 2019
014.31.75.06.1002.67,MARYAM,Jl. Raya Bekasi Km. 20 No. 54 Kp. Pegangsaan I,2,3,Rawa Terate ,Cakung,Jakarta Timur,0812 87748084,Hj. Munawaroh,Sosial Kemanusiaan Dan Keagamaan,27 Oktober 2014 s/d 26 Oktober 2019
014.31.75.10.1005.68,CAHAYA INSAN MULIA DARUSSALAM,Perum Primkopti Blok B.7 No. 5,2,6,Setu,Cipayung,Jakarta Timur,021 84992770,Drs. Hasan Bisri,Sosial Kemanusiaan Dan Keagamaan,06 Nopember 2014 s/d 05 Nopember 2019
014.31.75.08.1003.69,KELUARGA DAKWAH,Jl. Malaka Jaya No. 10,3,1,Kelapa Dua Wetan,Ciracas,Jakarta Timur,021 294793346,Eko Febrianto,"Sosial, Keagamaan dan Kemanusiaan ",12 Nopember 2014 s/d 11 Nopember 2019
014.31.75.06.1003.70,RAJUTAN KADIH ABADI,Ruko Taman Pulo Indah II Taman Pulo Indah Blok VI No. 11,3,18,Penggilingan,Cakung,Jakarta Timur,0813 10006355,Heben Heser Ginting,"Sosial, Keagamaan dan Kemanusiaan ",12 Nopember 2014 s/d 11 Nopember 2019
014.31.75.07.1003.71,ADDINIYAH AL JAUHARIYAH,Jl. Buaran II No. 09,2,13,Klender,Duren Sawit,Jakarta Timur,021 8600925 - 0813 17559,Drs. H. Nur Dholam,"Sosial, Keagamaan dan Kemanusiaan ",17 Nopember 2014 s/d 16 Nopember 2019
014.31.75.10.1002.72,AZ MUNA,Jl. Swadaya V No. 25,3,5,Cilangkap,Cipayung,Jakarta Timur,021 84593203,"Ahmad Adnan, Lc",Sosial Kemanusiaan Dan Keagamaan,17 Nopember 2014 s/d 16 Nopember 2019
014.31.75.06.1004.73,NURUL IMAN AL MUCHTAR,Jl. Balai Rakyat No. 99,15,1,Cakung,Cakung,Jakarta Timur,021 46821810,Hj. Yayah Yuliah,Sosial dan Keagamaan,19 Nopember 2014 s/d 18 Nopember 2019
014.31.75.02.1002.74,SRI KANDI JAKARTA,Jl. Cipinang Kebentem V No. 32,12,13,Pisangan Timur,Pulogadung,Jakarta Timur,021 4892150,Ir. Hardadi,Sosial,27 Nopember 2014 s/d 26 Nopember 2019
014.31.75.08.1008.75,NUURUSSYAMSIYYAH,Jl. H. Baping No. 39,10,6,Susukan,Ciracas,Jakarta Timur,021 8414767 - 081388147023,Erma Nurlaela,Sosial Kemanusiaan Dan Keagamaan,02 Desember 2014 s/d 01 Desember 2019
014.31.75.10.1007.76,TUMBUH KEMBANG,Jl. Al Baido Raya No. 2A,10,6,Lubang Buaya,Cipayung,Jakarta Timur,021 87796464 - 0878 81526643,"Dr. Wan Hendra, Sp.A",Sosial Kemanusiaan Dan Keagamaan,02 Desember 2014 s/d 01 Desember 2019
014.31.75.07.1005.77,MASJID HIFDZHUL AMANAH,Jl. Delima III,14,3,Malaka Sari,Duren Sawit,Jakarta Timur,021 8600318 - 021 91283862,H. Ohim Iskandar,Sosial dan Keagamaan,03 Desember 2014 s/d 02 Desember 2019
014.31.75.07.1004.78,ITASA,Jl. Curug Raya No. 33,3,8,Pondok Kelapa,Duren Sawit,Jakarta Timur,021 8648180,"Iin Ismawati Ismono, SE","Keagamaan, Sosial dan Kemanusiaan",04 Desember 2014 s/d 03 Desember 2019
014.31.75.06.1001.79,AL-HAKIIM ,Kp. Rawa Badung,6,13,Jatinegara,Cakung,Jakarta Timur,0815 11209981,Abdul Haris Nasaiih,Sosial Kemanusiaan Dan Keagamaan,04 Desember 2014 s/d 03 Desember 2019
014.31.75.06.1003.80,PENDIDIKAN ISLAM IBNU RUSHD CAKUNG,Jl. Komarudin I No. 58,14,5,Penggilingan,Cakung,Jakarta Timur,021 48701320,H. Rusydi Marzuki,Sosial Kemanusiaan Dan Keagamaan,04 Desember 2014 s/d 03 Desember 2019
014.31.75.06.1003.81,DWIPAYASA AGUNG,Jl. Dr. Sumarno No. 29,5,,Penggilingan,Cakung,Jakarta Timur,021 4806558 - 0897 1166283,Sarkoro,Sosial Kemanusiaan Dan Keagamaan,04 Desember 2014 s/d 03 Desember 2019
014.31.75.02.1006.82,SUMMARECON PEDULI,"Gd. Plaza Summarecon Lt. 3, Jl. Perintis Kemerdekaam No. 42",,,Kayu Putih,Pulogadung,Jakarta Timur,021 4714567,Soegianto Nagaria,"Sosial, Keagamaan dan Kemanusiaan ",09 Desember 2014 s/d 08 Desember 2019
014.31.75.01.1002.83,PENDIDIKAN PEMBANGUNAN,Jl. Pengayoman III No. 90,4,10,Utan Kayu Utara,Matraman,Jakarta Timur,021 8509012,Agus Setiawan,Sosial Kemanusiaan Dan Keagamaan,12 Desember 2014 s/d 11 Desember 2019
014.31.75.06.1003.84,AGHISNA,Jl. Hasan III,12,4,Penggilingan,Cakung,Jakarta Timur,021 95604129 - 085695883621,"Mihardi, S.Pd.I",Sosial Kemanusiaan Dan Keagamaan,12 Desember 2014 s/d 11 Desember 2019
014.31.75.04.1007.85,PERKUMPULAN ORSOS PENGAWAL PERDAMAIAN DUNIA,"Gd. Nindya Karya Lt. 3 R.306, Jl. Letjen. MT. Haryono Kav. 22",4,1,Cawang,Kramat Jati,Jakarta Timur,,"Drs. H. Mardjito, SH",Sosial,16 Desember 2014 s/d 15 Desember 2019
014.31.75.06.1003.86,PERGURUAN AL-WASHLIYAH MATRAMAN JAKARTA,Jl. Kayu Manis 4 No. 41,10,3,Kayu Manis,Matraman,Jakarta Timur,021 8580952,"H. Muhammad Ridwan, S.Ag",Sosial dan Keagamaan,16 Desember 2014 s/d 15 Desember 2019
014.31.75.04.1005.87,MASJID AL-IKHLAS BALEKAMBANG,Jl. Pucung,11,2,Balekambang,Kramat Jati,Jakarta Timur,0808 853390,"H. Hidayat, S.Ag",Sosial Kemanusiaan Dan Keagamaan,22 Desember 2014 s/d 21 Desember 2019
014.31.75.04.1006.88,AS SAADAH AL KHAIRANIYYAH CONDET,Jl. Raya Condet No. 63,9,5,Cililitan,Kramat Jati,Jakarta Timur,021 8092157 - 80885748,H. Ahmad Namillah,"Sosial, Keagamaan dan Kemanusiaan ",22 Desember 2014 s/d 21 Desember 2019
014.31.75.07.1003.89,PRODUK HALAL INDONESIA,Jl. I Gusti Ngurah Rai No. 1 Komp. Pertokoan Mall Citra Klender Blok 2 No. 7,,,Klender,Duren Sawit,Jakarta Timur,021 8603303,"Dr. Muhammad Yanis Musdja, M.Sc",Sosial Kemanusiaan Dan Keagamaan,22 Desember 2014 s/d 21 Desember 2019
014.31.75.10.1006.90,CITRA DHARMA,Jl. Swadaya I No. 59,9,1,Bambu Apus,Cipayung,Jakarta Timur,021 8458112,"Ny. Insiyawati, SE",Sosial Kemanusiaan Dan Keagamaan,22 Desember 2014 s/d 21 Desember 2019
014.31.75.10.1003.91,MASDALIFAH,Jl. Raya Pondok Rangon No. 4,1,2,Pondok rangon,Cipayung,Jakarta Timur,021 843001155 - 082124367456,Hj. Nurjanah Harahap,Sosial dan Pendidikan,22 Desember 2014 s/d 21 Desember 2019
014.31.75.07.1002.92,NURUL IHSAN MUALLIM ANDUL BASITH,Jl. Sawah Barat dalam II,1,6,Pondok Bambu,Duren Sawit,Jakarta Timur,,"Tuti Yusro, S.Ag","Sosial, Keagamaan dan Kemanusiaan ",31 Desember 2014 s/d 30 Desember 2019
014.31.75.04.1004.93,LADBAIQ MU'AMALAH SYAR'IYYAH,Jl. Condet Raya No. 103,4,3,Batu Ampar,Kramat Jati,Jakarta Timur,,Muhamad Arief Maliki,Sosial Kemanusiaan Dan Keagamaan,31 Desember 2014 s/d 30 Desember 2019
014.31.75.10.1007.94,AS-SYIFA CENDIKIA JAKARTA,Jl. Manunggal,5,5,Lubang Buaya,Cipayung,Jakarta Timur,,"Chairul, S.SI","Pendidikan, Sosial dan Keagamaan",31 Desember 2014 s/d 30 Desember 2019
